root_size,stem_size,root_branching
22,31,1
4,27,0
26,24,0
16,23,0
11,31,0
14,19,0
15,27,1
10,24,1
4,20,0
20,25,0
31,19,0
23,29,0
3,31,0
13,15,0
11,29,0
5,22,0
6,24,1
15,11,1
0,3,0
10,21,0
4,15,0
14,32,0
