root_size,stem_size,root_branching
18,25,0
26,23,1
17,24,0
25,37,0
22,29,1
18,39,1
20,35,0
15,30,1
20,29,0
13,22,0
18,30,1
24,31,0
12,18,1
20,28,1
16,26,1
25,26,0
51,27,0
18,5,0
73,11,0
26,0,1
20,33,1
16,33,1
