root_size,stem_size,root_branching
115,32,0
92,25,0
116,25,0
81,40,0
78,31,0
99,23,0
91,19,0
71,20,0
72,18,0
79,35,0
66,22,0
115,34,0
42,23,0
21,20,0
72,26,0
45,36,0
35,21,0
56,31,0
92,26,0
51,27,0
30,12,0
52,23,0
