root_size,stem_size,root_branching
28,29,1
50,27,0
34,28,1
20,24,0
57,35,0
25,35,0
17,26,0
29,39,0
42,29,0
25,40,0
50,38,0
70,36,0
40,33,0
31,31,1
37,30,0
26,28,0
55,25,0
41,23,0
20,13,0
21,23,1
57,24,0
40,26,0
