root_size,stem_size,root_branching
70,32,0
68,28,0
94,22,0
70,24,0
79,36,0
53,28,1
58,28,0
31,14,0
75,30,0
35,26,0
65,16,0
51,23,0
48,19,0
60,20,0
48,25,0
40,22,0
78,25,0
44,26,0
71,33,0
77,25,0
24,17,0
