root_size,stem_size,root_branching
65,21,0
62,30,0
3,24,0
34,12,0
77,25,0
32,28,0
76,27,0
29,19,0
90,30,0
65,29,0
76,25,0
77,34,0
81,30,0
10,29,0
30,22,0
60,20,0
87,26,0
27,23,0
65,33,0
96,32,0
95,30,0
75,29,0
