root_size,stem_size,root_branching
14,35,1
14,34,0
10,26,0
10,28,1
12,36,0
15,31,0
21,24,0
6,30,0
15,22,1
15,30,0
38,28,1
19,27,0
16,28,0
20,21,0
17,26,1
15,28,1
14,28,0
11,25,0
8,18,0
22,24,0
12,8,0
34,34,0
