root_size,stem_size,root_branching
30,25,0
60,27,0
75,34,0
75,35,0
85,28,0
65,34,0
98,29,0
65,28,0
66,22,0
72,26,0
67,28,0
59,30,0
81,22,0
25,20,0
56,10,0
70,25,0
100,30,0
50,30,0
30,24,0
65,30,0
77,15,0
90,30,0
60,25,0
70,15,0
