root_size,stem_size,root_branching
11,22,0
0,18,0
6,25,0
4,22,0
4,24,0
8,18,0
14,18,0
5,10,0
3,7,0
4,15,0
7,15,0
8,19,0
5,4,0
9,29,0
5,11,0
1,26,0
9,30,0
7,25,0
9,15,0
6,15,0
5,9,0
2,21,0
