root_size,stem_size,root_branching
73,29,0
63,33,0
64,22,0
41,21,0
63,23,0
48,25,0
58,16,0
8,26,0
53,29,0
47,16,0
41,26,0
81,24,0
87,35,0
73,24,0
63,22,0
63,15,0
30,6,0
5,12,0
43,32,0
30,10,0
37,8,0
24,26,0
43,20,0
