root_size,stem_size,root_branching
28,34,0
20,25,1
22,26,1
21,26,0
18,32,1
17,42,0
61,29,0
49,29,0
36,30,0
66,30,0
27,17,0
21,20,0
58,28,0
71,21,0
23,30,1
19,20,0
40,25,0
19,26,0
43,23,1
21,23,0
45,14,0
