"","root_size","stem_size","root_branching","sum"
"1",32,29,0,61
"2",20,39,1,59
"3",20,26,0,46
"4",10,32,1,42
"5",6,20,1,26
"6",8,18,0,26
"7",22,30,1,52
"8",30,22,1,52
"9",27,29,1,56
"10",33,24,1,57
"11",21,39,0,60
"12",21,30,1,51
"13",18,18,1,36
"14",45,36,0,81
"15",7,38,0,45
"16",17,34,1,51
"17",7,34,0,41
"18",33,37,0,70
"19",51,30,0,81
"20",38,25,0,63
"21",9,10,0,19
"22",5,3,0,8
"23",14,35,1,49
"24",14,34,0,48
"25",10,26,0,36
"26",10,28,1,38
"27",12,36,0,48
"28",15,31,0,46
"29",21,24,0,45
"30",6,30,0,36
"31",15,22,1,37
"32",15,30,0,45
"33",38,28,1,66
"34",19,27,0,46
"35",16,28,0,44
"36",20,21,0,41
"37",17,26,1,43
"38",15,28,1,43
"39",14,28,0,42
"40",11,25,0,36
"41",8,18,0,26
"42",22,24,0,46
"43",12,8,0,20
"44",34,34,0,68
"45",18,25,0,43
"46",26,23,1,49
"47",17,24,0,41
"48",25,37,0,62
"49",22,29,1,51
"50",18,39,1,57
"51",20,35,0,55
"52",15,30,1,45
"53",20,29,0,49
"54",13,22,0,35
"55",18,30,1,48
"56",24,31,0,55
"57",12,18,1,30
"58",20,28,1,48
"59",16,26,1,42
"60",25,26,0,51
"61",51,27,0,78
"62",18,5,0,23
"63",73,11,0,84
"64",26,0,1,26
"65",20,33,1,53
"66",16,33,1,49
