"","root_size","stem_size","root_branching","sum"
"1",11,22,0,33
"2",0,18,0,18
"3",6,25,0,31
"4",4,22,0,26
"5",4,24,0,28
"6",8,18,0,26
"7",14,18,0,32
"8",5,10,0,15
"9",3,7,0,10
"10",4,15,0,19
"11",7,15,0,22
"12",8,19,0,27
"13",5,4,0,9
"14",9,29,0,38
"15",5,11,0,16
"16",1,26,0,27
"17",9,30,0,39
"18",7,25,0,32
"19",9,15,0,24
"20",6,15,0,21
"21",5,9,0,14
"22",2,21,0,23
"23",1,24,0,25
"24",5,20,0,25
"25",3,11,0,14
"26",8,9,0,17
"27",5,10,0,15
"28",5,23,0,28
"29",10,26,0,36
"30",4,23,0,27
"31",4,26,0,30
"32",10,26,0,36
"33",7,30,0,37
"34",4,26,0,30
"35",8,33,0,41
"36",5,26,1,31
"37",4,20,0,24
"38",25,9,0,34
"39",9,26,0,35
"40",6,27,0,33
"41",2,16,0,18
"42",6,22,1,28
"43",4,11,1,15
"44",5,10,0,15
"45",22,31,1,53
"46",4,27,0,31
"47",26,24,0,50
"48",16,23,0,39
"49",11,31,0,42
"50",14,19,0,33
"51",15,27,1,42
"52",10,24,1,34
"53",4,20,0,24
"54",20,25,0,45
"55",31,19,0,50
"56",23,29,0,52
"57",3,31,0,34
"58",13,15,0,28
"59",11,29,0,40
"60",5,22,0,27
"61",6,24,1,30
"62",15,11,1,26
"63",0,3,0,3
"64",10,21,0,31
"65",4,15,0,19
"66",14,32,0,46
