"","root_size","stem_size","root_branching","sum"
"1",64,23,0,87
"2",66,35,0,101
"3",25,28,0,53
"4",65,31,0,96
"5",75,19,0,94
"6",66,26,0,92
"7",60,27,0,87
"8",62,25,0,87
"9",20,26,0,46
"10",95,25,0,120
"11",60,30,0,90
"12",64,36,0,100
"13",11,19,1,30
"14",45,16,0,61
"15",50,24,0,74
"16",79,25,0,104
"17",22,25,0,47
"18",63,30,0,93
"19",56,15,0,71
"20",38,23,0,61
"21",40,26,0,66
"22",54,29,0,83
"23",47,22,0,69
"24",50,28,0,78
"25",39,7,0,46
"26",25,29,0,54
"27",79,29,0,108
"28",76,34,0,110
"29",20,36,0,56
"30",74,35,0,109
"31",66,20,0,86
"32",70,35,0,105
"33",0,20,0,20
"34",90,32,0,122
"35",40,5,0,45
"36",49,42,0,91
"37",50,26,0,76
"38",72,29,0,101
"39",46,21,0,67
"40",60,26,0,86
"41",78,28,0,106
"42",68,26,0,94
"43",70,32,0,102
"44",69,28,0,97
"45",69,21,0,90
"46",11,17,0,28
"47",57,30,0,87
"48",59,28,0,87
"49",38,35,0,73
"50",84,26,0,110
"51",69,35,0,104
"52",77,26,0,103
"53",64,39,0,103
"54",89,31,0,120
"55",75,31,0,106
"56",54,28,0,82
"57",54,28,0,82
"58",60,26,0,86
"59",42,19,0,61
"60",59,27,0,86
"61",90,32,0,122
"62",75,38,0,113
"63",65,25,0,90
"64",48,28,0,76
"65",60,33,0,93
"66",90,35,0,125
"67",43,24,0,67
"68",56,25,0,81
